gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
OR6C6,283365,3.8860879951794,Intermediate pleiotropy,2nd,3,2.35886520214658,Intermediate pleiotropy,3rd,6
OR6C65,403282,3.91242666218211,Intermediate pleiotropy,2nd,4,1.52023836024059,Low pleiotropy,1st,2
OR6C68,403284,3.91999104092407,Intermediate pleiotropy,2nd,4,1.54169408900071,Low pleiotropy,1st,2
OR6C70,390327,4.30043116631382,Intermediate pleiotropy,3rd,6,2.37551745333827,Intermediate pleiotropy,3rd,6
OR6C74,254783,2.70642850941242,Low pleiotropy,1st,1,0.763771231544643,Low pleiotropy,1st,1
OR6C75,390323,3.41571573205834,Low pleiotropy,1st,1,0.68754353437145,Low pleiotropy,1st,1
OR6C76,390326,3.77712997098,Intermediate pleiotropy,2nd,3,0.709504552586232,Low pleiotropy,1st,1
OR6F1,343169,3.26141171748744,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
OR6K2,81448,4.73459474614244,Intermediate pleiotropy,4th,8,2.41981684298427,Intermediate pleiotropy,3rd,6
OR6K3,391114,4.49924400499099,Intermediate pleiotropy,4th,7,2.41885966865145,Intermediate pleiotropy,3rd,6
OR6K6,128371,5.51396133916805,High pleiotropy,5th,10,3.27057121866564,High pleiotropy,5th,9
OR6M1,390261,4.29667451730447,Intermediate pleiotropy,3rd,6,4.05466729304806,High pleiotropy,5th,10
OR6N1,128372,4.60030764199285,Intermediate pleiotropy,4th,8,3.26574015851374,High pleiotropy,5th,9
OR6N2,81442,4.1185390240083,Intermediate pleiotropy,3rd,5,2.47488165627293,Intermediate pleiotropy,4th,8
OR6P1,128366,3.10992341230049,Low pleiotropy,1st,1,0.621034883259425,Low pleiotropy,1st,1
OR6Q1,219952,4.54610820980626,Intermediate pleiotropy,4th,7,1.53833253499803,Low pleiotropy,1st,2
OR6S1,341799,4.5571347695685,Intermediate pleiotropy,4th,7,3.29470715293034,High pleiotropy,5th,10
OR6T1,219874,3.52753553391178,Low pleiotropy,1st,2,1.64315280768878,Intermediate pleiotropy,2nd,4
OR6V1,346517,3.9727089838038,Intermediate pleiotropy,2nd,4,1.60878256122912,Intermediate pleiotropy,2nd,3
OR6X1,390260,4.20973151399108,Intermediate pleiotropy,3rd,5,1.56996565019573,Low pleiotropy,1st,2
OR6Y1,391112,3.31703705265339,Low pleiotropy,1st,1,0.719888514968113,Low pleiotropy,1st,1
OR7A10,390892,3.33904718213636,Low pleiotropy,1st,1,0.809074744601706,Low pleiotropy,1st,1
OR7A17,26333,3.35317652870882,Low pleiotropy,1st,1,0.806719661464004,Low pleiotropy,1st,1
OR7A5,26659,3.69497426211302,Low pleiotropy,1st,2,0.800998329415799,Low pleiotropy,1st,1
OR7C1,26664,3.69497426211302,Low pleiotropy,1st,2,0.809074744601706,Low pleiotropy,1st,1
OR7C2,26658,3.14961879083831,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
OR7D2,162998,3.79378595520721,Intermediate pleiotropy,2nd,3,1.62779048242199,Intermediate pleiotropy,2nd,4
OR7D4,125958,3.86761955381096,Intermediate pleiotropy,2nd,3,1.63673838987291,Intermediate pleiotropy,2nd,4
OR7E24,26648,3.38930363888055,Low pleiotropy,1st,1,1.63118842196031,Intermediate pleiotropy,2nd,4
OR7G1,125962,4.01210325206016,Intermediate pleiotropy,2nd,4,1.61041228110786,Intermediate pleiotropy,2nd,3
