gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
A1BG,1,3.51347024027238,Low pleiotropy,1st,2,0.780753300011043,Low pleiotropy,1st,1
A1CF,29974,4.5245741135534,Intermediate pleiotropy,4th,7,3.30741626841254,High pleiotropy,5th,10
A4GALT,53947,4.67675548545519,Intermediate pleiotropy,4th,8,1.60836001952487,Intermediate pleiotropy,2nd,3
A4GNT,51146,3.90920496762934,Intermediate pleiotropy,2nd,4,1.58074926660621,Low pleiotropy,1st,2
AAAS,8086,1.70925660823854,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
AACS,65985,4.22045302858404,Intermediate pleiotropy,3rd,5,2.44161177883474,Intermediate pleiotropy,4th,7
AADAC,13,3.55191184727519,Low pleiotropy,1st,2,0.756774058295001,Low pleiotropy,1st,1
AADACL2,344752,3.7098133396022,Low pleiotropy,1st,2,1.60029299415461,Intermediate pleiotropy,2nd,3
AADACL3,126767,4.78029629356547,Intermediate pleiotropy,4th,8,2.47193266729536,Intermediate pleiotropy,4th,8
AADACL4,343066,4.30590466480248,Intermediate pleiotropy,3rd,6,1.65938779894753,Intermediate pleiotropy,3rd,5
AADAT,51166,3.90242397147207,Intermediate pleiotropy,2nd,3,2.44212117633375,Intermediate pleiotropy,4th,7
AAED1,195827,2.72590134341393,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
AAGAB,79719,4.62319919306212,Intermediate pleiotropy,4th,8,2.38787503759707,Intermediate pleiotropy,3rd,6
AAK1,22848,3.85217420133735,Intermediate pleiotropy,2nd,3,2.39891570021097,Intermediate pleiotropy,3rd,6
AAMDC,28971,5.3758612061977,High pleiotropy,5th,10,3.92521870763447,High pleiotropy,5th,10
AAMP,14,3.42717794081957,Low pleiotropy,1st,1,1.54959796632405,Low pleiotropy,1st,2
AANAT,15,4.32992931636402,Intermediate pleiotropy,3rd,6,3.27973861305737,High pleiotropy,5th,9
AAR2,25980,3.86872350796687,Intermediate pleiotropy,2nd,3,1.56161986467336,Low pleiotropy,1st,2
AARD,441376,4.53941891129958,Intermediate pleiotropy,4th,7,2.48128022877488,Intermediate pleiotropy,4th,8
AARS,16,7.60834299777716,High pleiotropy,5th,10,2.43770326807045,Intermediate pleiotropy,4th,7
AARS2,57505,4.58216801304931,Intermediate pleiotropy,4th,8,2.47002946903582,Intermediate pleiotropy,4th,8
AARSD1,80755,5.89397007400735,High pleiotropy,5th,10,0.734704470336767,Low pleiotropy,1st,1
AASDH,132949,4.21015289768114,Intermediate pleiotropy,3rd,5,2.44605140104673,Intermediate pleiotropy,4th,7
AASDHPPT,60496,3.33019578195764,Low pleiotropy,1st,1,0.792988229802919,Low pleiotropy,1st,1
AASS,10157,4.47135687731547,Intermediate pleiotropy,4th,7,2.37679857631101,Intermediate pleiotropy,3rd,6
AATF,26574,3.41724806376246,Low pleiotropy,1st,1,1.62280331658491,Intermediate pleiotropy,2nd,3
AATK,9625,4.50779517526555,Intermediate pleiotropy,4th,7,2.47524785908327,Intermediate pleiotropy,4th,8
ABAT,18,3.9683198501924,Intermediate pleiotropy,2nd,4,1.65012826698973,Intermediate pleiotropy,3rd,5
ABCA1,19,4.41298435756104,Intermediate pleiotropy,4th,7,2.48648336037191,Intermediate pleiotropy,4th,8
ABCA10,10349,3.69731184081705,Low pleiotropy,1st,2,1.64601728832549,Intermediate pleiotropy,2nd,4
ABCA12,26154,4.26820333283795,Intermediate pleiotropy,3rd,6,1.64451080977715,Intermediate pleiotropy,2nd,4
ABCA13,154664,4.65186891239374,Intermediate pleiotropy,4th,8,2.458463563609,Intermediate pleiotropy,4th,7
ABCA3,21,3.79863882275319,Intermediate pleiotropy,2nd,3,1.65931737533015,Intermediate pleiotropy,3rd,5
ABCA4,24,4.69039320827404,Intermediate pleiotropy,4th,8,2.48857787612532,Intermediate pleiotropy,4th,8
ABCA5,23461,4.00254198732097,Intermediate pleiotropy,2nd,4,1.65146044708506,Intermediate pleiotropy,3rd,5
ABCA6,23460,4.02426037995043,Intermediate pleiotropy,2nd,4,2.43979250205257,Intermediate pleiotropy,4th,7
ABCA7,10347,4.34643250587477,Intermediate pleiotropy,3rd,6,2.47243971734046,Intermediate pleiotropy,4th,8
ABCA8,10351,4.10012771109361,Intermediate pleiotropy,3rd,5,2.46170305000823,Intermediate pleiotropy,4th,7
ABCA9,10350,4.47232397275185,Intermediate pleiotropy,4th,7,2.44584599882939,Intermediate pleiotropy,4th,7
ABCB1,5243,4.78562565627544,Intermediate pleiotropy,4th,8,3.18499185196858,High pleiotropy,5th,9
ABCB10,23456,4.19922747467839,Intermediate pleiotropy,3rd,5,1.64044854078159,Intermediate pleiotropy,2nd,4
ABCB11,8647,4.01438238976793,Intermediate pleiotropy,2nd,4,1.65300800607687,Intermediate pleiotropy,3rd,5
ABCB4,5244,4.12902608104478,Intermediate pleiotropy,3rd,5,2.42177931445511,Intermediate pleiotropy,3rd,6
ABCB5,340273,4.76091797980691,Intermediate pleiotropy,4th,8,2.4786992031981,Intermediate pleiotropy,4th,8
ABCB6,10058,3.01947339729423,Low pleiotropy,1st,1,0.812320686499195,Low pleiotropy,1st,1
ABCB8,11194,3.64991811420063,Low pleiotropy,1st,2,1.64016567258514,Intermediate pleiotropy,2nd,4
ABCB9,23457,6.74948361115626,High pleiotropy,5th,10,2.41187658012529,Intermediate pleiotropy,3rd,6
ABCC1,4363,4.49133371541872,Intermediate pleiotropy,4th,7,2.47188747880755,Intermediate pleiotropy,4th,8
ABCC10,89845,5.29821952699527,High pleiotropy,5th,10,4.12580571013898,High pleiotropy,5th,10
ABCC11,85320,6.20634618508506,High pleiotropy,5th,10,2.44958255859459,Intermediate pleiotropy,4th,7
ABCC12,94160,4.0255116092705,Intermediate pleiotropy,2nd,4,1.63066963464565,Intermediate pleiotropy,2nd,4
ABCC2,1244,6.76827807845952,High pleiotropy,5th,10,3.24376270812157,High pleiotropy,5th,9
ABCC3,8714,3.79982507352322,Intermediate pleiotropy,2nd,3,1.64961006653855,Intermediate pleiotropy,3rd,5
ABCC4,10257,4.77867177981935,Intermediate pleiotropy,4th,8,2.48222977388248,Intermediate pleiotropy,4th,8
ABCC5,10057,4.53916550454339,Intermediate pleiotropy,4th,7,3.23676846918932,High pleiotropy,5th,9
ABCC6,368,4.35564119003703,Intermediate pleiotropy,3rd,6,1.64629487475064,Intermediate pleiotropy,2nd,4
ABCC8,6833,4.69080961843582,Intermediate pleiotropy,4th,8,3.30863811817398,High pleiotropy,5th,10
ABCC9,10060,4.05182102992157,Intermediate pleiotropy,2nd,4,0.800115686744704,Low pleiotropy,1st,1
ABCD3,5825,4.50406971201243,Intermediate pleiotropy,4th,7,2.47103183185645,Intermediate pleiotropy,4th,8
ABCD4,5826,3.67290581581031,Low pleiotropy,1st,2,1.60729368858512,Intermediate pleiotropy,2nd,3
ABCE1,6059,4.08910786913721,Intermediate pleiotropy,3rd,5,3.31235413771745,High pleiotropy,5th,10
ABCF2,10061,3.65235832755535,Low pleiotropy,1st,2,2.47561347503014,Intermediate pleiotropy,4th,8
ABCF3,55324,5.20158652530424,High pleiotropy,5th,9,2.46362913594342,Intermediate pleiotropy,4th,7
ABCG1,9619,4.27775176159748,Intermediate pleiotropy,3rd,6,1.65463772595561,Intermediate pleiotropy,3rd,5
ABCG2,9429,4.70039351860978,Intermediate pleiotropy,4th,8,2.46083449206061,Intermediate pleiotropy,4th,7
ABCG4,64137,4.63581047540353,Intermediate pleiotropy,4th,8,2.42699594391213,Intermediate pleiotropy,3rd,6
ABCG5,64240,4.21807578855799,Intermediate pleiotropy,3rd,5,1.62269826802233,Intermediate pleiotropy,2nd,3
ABCG8,64241,4.48976533801627,Intermediate pleiotropy,4th,7,1.64479133051969,Intermediate pleiotropy,2nd,4
ABHD1,84696,4.35339892740279,Intermediate pleiotropy,3rd,6,1.61841827267639,Intermediate pleiotropy,2nd,3
ABHD10,55347,4.44284447865994,Intermediate pleiotropy,4th,7,1.62242420277805,Intermediate pleiotropy,2nd,3
ABHD11,83451,4.48600870102585,Intermediate pleiotropy,4th,7,1.64944633162815,Intermediate pleiotropy,3rd,5
ABHD12,26090,5.68697927825943,High pleiotropy,5th,10,3.24721757341727,High pleiotropy,5th,9
ABHD12B,145447,3.98406553498087,Intermediate pleiotropy,2nd,4,1.64334353831916,Intermediate pleiotropy,2nd,4
ABHD13,84945,4.62249090756108,Intermediate pleiotropy,4th,8,1.64985420174544,Intermediate pleiotropy,3rd,5
ABHD14A,25864,4.06440242439808,Intermediate pleiotropy,2nd,4,0.776167548793002,Low pleiotropy,1st,1
ABHD14B,84836,4.06440242439808,Intermediate pleiotropy,2nd,4,0.776167548793002,Low pleiotropy,1st,1
ABHD15,116236,3.89133197049021,Intermediate pleiotropy,2nd,3,1.62829753246709,Intermediate pleiotropy,2nd,4
ABHD16B,140701,10.1049613765812,High pleiotropy,5th,10,3.26254410001189,High pleiotropy,5th,9
ABHD17A,81926,3.49029767119481,Low pleiotropy,1st,2,0.788264565667519,Low pleiotropy,1st,1
ABHD17B,51104,3.1775589965751,Low pleiotropy,1st,1,0.824460544407615,Low pleiotropy,1st,2
ABHD17C,58489,5.21129992336974,High pleiotropy,5th,9,3.28167350194474,High pleiotropy,5th,9
ABHD2,11057,4.19826622206188,Intermediate pleiotropy,3rd,5,2.48150030257918,Intermediate pleiotropy,4th,8
ABHD3,171586,4.56853781579776,Intermediate pleiotropy,4th,7,3.2326275604877,High pleiotropy,5th,9
ABHD4,63874,5.28828954200576,High pleiotropy,5th,10,3.31206657461317,High pleiotropy,5th,10
ABHD5,51099,3.92398811011872,Intermediate pleiotropy,2nd,4,2.42245831549929,Intermediate pleiotropy,3rd,6
ABHD6,57406,4.10412270132546,Intermediate pleiotropy,3rd,5,2.35835991269191,Intermediate pleiotropy,3rd,6
ABHD8,79575,4.38846752160093,Intermediate pleiotropy,3rd,6,1.63276297667211,Intermediate pleiotropy,2nd,4
ABI1,10006,4.23727280156396,Intermediate pleiotropy,3rd,6,2.40031889078716,Intermediate pleiotropy,3rd,6
ABI2,10152,4.99307004820545,High pleiotropy,5th,9,3.15641746921885,High pleiotropy,5th,9
ABI3,51225,5.0128376403015,High pleiotropy,5th,9,3.2877528207146,High pleiotropy,5th,10
ABI3BP,25890,4.3301680903829,Intermediate pleiotropy,3rd,6,2.44137996776088,Intermediate pleiotropy,4th,7
ABL1,25,3.5742138018095,Low pleiotropy,1st,2,0.80817977779757,Low pleiotropy,1st,1
ABL2,27,3.76112883455297,Intermediate pleiotropy,2nd,3,1.62271939510754,Intermediate pleiotropy,2nd,3
ABLIM1,3983,3.89066763460981,Intermediate pleiotropy,2nd,3,2.47292035852904,Intermediate pleiotropy,4th,8
ABLIM2,84448,4.2747690598625,Intermediate pleiotropy,3rd,6,2.49259319604263,High pleiotropy,5th,9
ABLIM3,22885,4.76646012204105,Intermediate pleiotropy,4th,8,3.3137180084406,High pleiotropy,5th,10
ABO,28,5.13379219114064,High pleiotropy,5th,9,3.29611621214131,High pleiotropy,5th,10
ABR,29,3.91234995590438,Intermediate pleiotropy,2nd,4,3.31936304823665,High pleiotropy,5th,10
ABRA,137735,3.73731349097918,Intermediate pleiotropy,2nd,3,2.38648593174436,Intermediate pleiotropy,3rd,6
ABRACL,58527,4.4885163260912,Intermediate pleiotropy,4th,7,2.47131587377986,Intermediate pleiotropy,4th,8
ABT1,29777,6.10983422499212,High pleiotropy,5th,10,2.24418914420426,Intermediate pleiotropy,3rd,5
ABTB1,80325,3.50162948617095,Low pleiotropy,1st,2,2.46148884483872,Intermediate pleiotropy,4th,7
ABTB2,25841,4.9400485837359,High pleiotropy,5th,9,2.48419517967071,Intermediate pleiotropy,4th,8
ACAA1,30,3.98694328100423,Intermediate pleiotropy,2nd,4,1.57682725798192,Low pleiotropy,1st,2
ACAA2,10449,4.27093244977705,Intermediate pleiotropy,3rd,6,2.40036231868454,Intermediate pleiotropy,3rd,6
ACACA,31,3.69837209081092,Low pleiotropy,1st,2,2.43181878797533,Intermediate pleiotropy,3rd,6
ACACB,32,3.98206650123827,Intermediate pleiotropy,2nd,4,2.48993000957891,Intermediate pleiotropy,4th,8
ACAD10,80724,5.47246041549908,High pleiotropy,5th,10,2.24579304208996,Intermediate pleiotropy,3rd,5
ACAD11,84129,5.25128377912643,High pleiotropy,5th,10,3.24925516341331,High pleiotropy,5th,9
ACAD8,27034,4.0533546189299,Intermediate pleiotropy,2nd,4,1.62994192393278,Intermediate pleiotropy,2nd,4
ACAD9,28976,3.40757385756124,Low pleiotropy,1st,1,1.5883943371357,Intermediate pleiotropy,2nd,3
ACADL,33,4.20477915725058,Intermediate pleiotropy,3rd,5,1.59332516407887,Intermediate pleiotropy,2nd,3
ACADM,34,3.96028595638319,Intermediate pleiotropy,2nd,4,1.46485546694679,Low pleiotropy,1st,2
ACADS,35,3.56561660874606,Low pleiotropy,1st,2,1.56336695724773,Low pleiotropy,1st,2
ACADSB,36,4.72765132429174,Intermediate pleiotropy,4th,8,3.28867243578481,High pleiotropy,5th,10
ACADVL,37,3.95960902480226,Intermediate pleiotropy,2nd,4,1.65854564985642,Intermediate pleiotropy,3rd,5
ACAN,176,4.9447585317296,High pleiotropy,5th,9,4.15492939710424,High pleiotropy,5th,10
ACAP1,9744,4.04326416675114,Intermediate pleiotropy,2nd,4,2.49172053005066,High pleiotropy,5th,9
ACAP2,23527,3.95748416439877,Intermediate pleiotropy,2nd,4,2.4284290645257,Intermediate pleiotropy,3rd,6
ACAP3,116983,4.34768984560603,Intermediate pleiotropy,3rd,6,2.37768004525515,Intermediate pleiotropy,3rd,6
ACAT1,38,14.7848457256407,High pleiotropy,5th,10,4.05952769637386,High pleiotropy,5th,10
ACAT2,39,3.37816827913106,Low pleiotropy,1st,1,1.59315732112413,Intermediate pleiotropy,2nd,3
ACBD3,64746,3.22126688590712,Low pleiotropy,1st,1,0.792033989787494,Low pleiotropy,1st,1
ACBD4,79777,5.13139368150682,High pleiotropy,5th,9,2.45750638927618,Intermediate pleiotropy,4th,7
ACBD5,91452,4.63507606909979,Intermediate pleiotropy,4th,8,3.23471092583503,High pleiotropy,5th,9
ACBD6,84320,4.05360547190237,Intermediate pleiotropy,2nd,4,1.54795416172183,Low pleiotropy,1st,2
ACBD7,414149,3.79560009227743,Intermediate pleiotropy,2nd,3,1.62510675573654,Intermediate pleiotropy,2nd,3
ACCS,84680,5.39853080328104,High pleiotropy,5th,10,3.29310912367941,High pleiotropy,5th,10
ACCSL,390110,4.30085053240304,Intermediate pleiotropy,3rd,6,3.30683586043267,High pleiotropy,5th,10
ACD,65057,5.46647162670078,High pleiotropy,5th,10,2.3722468631747,Intermediate pleiotropy,3rd,6
ACE,1636,4.14657708632657,Intermediate pleiotropy,3rd,5,2.46237911673503,Intermediate pleiotropy,4th,7
ACER1,125981,3.93739650458666,Intermediate pleiotropy,2nd,4,1.64852965087532,Intermediate pleiotropy,3rd,5
ACER2,340485,3.77789415906624,Intermediate pleiotropy,2nd,3,1.64774384067812,Intermediate pleiotropy,2nd,4
ACER3,55331,3.45630466405124,Low pleiotropy,1st,2,1.62537025743822,Intermediate pleiotropy,2nd,3
ACHE,43,4.30372292990412,Intermediate pleiotropy,3rd,6,3.24327971947908,High pleiotropy,5th,9
ACIN1,22985,3.99153270936204,Intermediate pleiotropy,2nd,4,1.66084204664631,Intermediate pleiotropy,3rd,5
ACKR1,2532,4.05225432640509,Intermediate pleiotropy,2nd,4,1.62010022340469,Intermediate pleiotropy,2nd,3
ACKR2,1238,3.2430614296403,Low pleiotropy,1st,1,1.65224508355531,Intermediate pleiotropy,3rd,5
ACKR3,57007,3.58564231943382,Low pleiotropy,1st,2,0.817495061785792,Low pleiotropy,1st,2
ACKR4,51554,3.74927853439063,Intermediate pleiotropy,2nd,3,2.41592183007998,Intermediate pleiotropy,3rd,6
ACLY,47,4.70236747668097,Intermediate pleiotropy,4th,8,3.29691962824286,High pleiotropy,5th,10
ACMSD,130013,4.30140162445145,Intermediate pleiotropy,3rd,6,2.30086137655949,Intermediate pleiotropy,3rd,5
ACO1,48,4.49433292820881,Intermediate pleiotropy,4th,7,2.46390672236858,Intermediate pleiotropy,4th,7
ACO2,50,3.68332071323674,Low pleiotropy,1st,2,2.41610141030428,Intermediate pleiotropy,3rd,6
ACOT1,641371,3.49245042209718,Low pleiotropy,1st,2,0.756632037333296,Low pleiotropy,1st,1
ACOT11,26027,3.47289195336062,Low pleiotropy,1st,2,0.818874777822856,Low pleiotropy,1st,2
ACOT12,134526,4.50169510514974,Intermediate pleiotropy,4th,7,2.46331809830002,Intermediate pleiotropy,4th,7
ACOT13,55856,4.19220650459524,Intermediate pleiotropy,3rd,5,3.28634610895754,High pleiotropy,5th,10
ACOT2,10965,4.80314278862355,Intermediate pleiotropy,4th,8,1.57049147987213,Low pleiotropy,1st,2
ACOT4,122970,3.73468425072265,Intermediate pleiotropy,2nd,3,1.61046568568437,Intermediate pleiotropy,2nd,3
ACOT6,641372,5.84337850543241,High pleiotropy,5th,10,3.24222336521846,High pleiotropy,5th,9
ACOT7,11332,4.66076268844414,Intermediate pleiotropy,4th,8,2.41064827486558,Intermediate pleiotropy,3rd,6
ACOT8,10005,4.5712043143017,Intermediate pleiotropy,4th,7,1.60816283339622,Intermediate pleiotropy,2nd,3
ACOX1,51,5.02673521532233,High pleiotropy,5th,9,3.24840421137003,High pleiotropy,5th,9
ACOX2,8309,3.65292053939839,Low pleiotropy,1st,2,2.46067075715021,Intermediate pleiotropy,4th,7
ACOX3,8310,4.44749941097022,Intermediate pleiotropy,4th,7,1.64892871804045,Intermediate pleiotropy,3rd,5
ACOXL,55289,5.90578648253749,High pleiotropy,5th,10,3.31883545796982,High pleiotropy,5th,10
ACP1,52,4.30435204269364,Intermediate pleiotropy,3rd,6,1.60230593588457,Intermediate pleiotropy,2nd,3
ACP5,54,4.26091455115299,Intermediate pleiotropy,3rd,6,1.6166236441603,Intermediate pleiotropy,2nd,3
ACP6,51205,4.84298070087906,High pleiotropy,5th,9,1.65087417047042,Intermediate pleiotropy,3rd,5
ACPP,55,4.45570247435809,Intermediate pleiotropy,4th,7,2.43162042811972,Intermediate pleiotropy,3rd,6
ACPT,93650,3.48299834868369,Low pleiotropy,1st,2,1.64216452959162,Intermediate pleiotropy,2nd,4
ACR,49,3.68591066920606,Low pleiotropy,1st,2,2.48366876313084,Intermediate pleiotropy,4th,8
ACRBP,84519,4.45470292318757,Intermediate pleiotropy,4th,7,1.64594510411768,Intermediate pleiotropy,2nd,4
ACRV1,56,4.48414311623032,Intermediate pleiotropy,4th,7,1.57134653995975,Low pleiotropy,1st,2
ACSBG1,23205,5.15803353981717,High pleiotropy,5th,9,3.28107548806053,High pleiotropy,5th,9
ACSBG2,81616,5.32111124458656,High pleiotropy,5th,10,2.44276437870577,Intermediate pleiotropy,4th,7
ACSF2,80221,4.11317900189392,Intermediate pleiotropy,3rd,5,3.29064957884261,High pleiotropy,5th,10
ACSF3,197322,4.88102023202286,High pleiotropy,5th,9,3.29455574215298,High pleiotropy,5th,10
ACSL1,2180,4.69182794735957,Intermediate pleiotropy,4th,8,3.26133222692957,High pleiotropy,5th,9
ACSL3,2181,4.16756511698929,Intermediate pleiotropy,3rd,5,2.43006171872183,Intermediate pleiotropy,3rd,6
ACSL5,51703,3.80585020680103,Intermediate pleiotropy,2nd,3,1.65972172426658,Intermediate pleiotropy,3rd,5
ACSL6,23305,3.54050720522313,Low pleiotropy,1st,2,2.21819930821217,Intermediate pleiotropy,3rd,5
ACSM1,116285,4.24720654313515,Intermediate pleiotropy,3rd,6,2.38497417142472,Intermediate pleiotropy,3rd,6
ACSM2A,123876,4.14484175238251,Intermediate pleiotropy,3rd,5,1.55122768620279,Low pleiotropy,1st,2
ACSM2B,348158,3.39725126111204,Low pleiotropy,1st,1,1.63016727950838,Intermediate pleiotropy,2nd,4
ACSM3,6296,3.15630721700785,Low pleiotropy,1st,1,0.779887089517336,Low pleiotropy,1st,1
ACSM5,54988,4.14484175238251,Intermediate pleiotropy,3rd,5,2.48992472780761,Intermediate pleiotropy,4th,8
ACSM6,142827,4.34762927809611,Intermediate pleiotropy,3rd,6,2.39407583710691,Intermediate pleiotropy,3rd,6
ACSS1,84532,3.95266614216062,Intermediate pleiotropy,2nd,4,0.794622644589487,Low pleiotropy,1st,1
ACSS2,55902,4.37318788052548,Intermediate pleiotropy,3rd,6,2.24690749583492,Intermediate pleiotropy,3rd,5
ACSS3,79611,4.44186513385214,Intermediate pleiotropy,4th,7,2.38918022197242,Intermediate pleiotropy,3rd,6
ACTA1,58,4.33658869732451,Intermediate pleiotropy,3rd,6,2.40509067772777,Intermediate pleiotropy,3rd,6
ACTA2,59,4.93827284261866,High pleiotropy,5th,9,3.30508055176961,High pleiotropy,5th,10
ACTB,60,3.39399132559894,Low pleiotropy,1st,1,1.6300434513145,Intermediate pleiotropy,2nd,4
ACTBL2,345651,3.50576208867057,Low pleiotropy,1st,2,1.631223633769,Intermediate pleiotropy,2nd,4
ACTC1,70,4.19699266138906,Intermediate pleiotropy,3rd,5,2.49410554322575,High pleiotropy,5th,9
ACTG1,71,3.45590694415056,Low pleiotropy,1st,2,1.62103568378881,Intermediate pleiotropy,2nd,3
ACTG2,72,4.28109065161783,Intermediate pleiotropy,3rd,6,0.823723443879095,Low pleiotropy,1st,2
ACTL10,170487,3.52958209597852,Low pleiotropy,1st,2,0.806622242126636,Low pleiotropy,1st,1
ACTL6A,86,4.33769144734838,Intermediate pleiotropy,3rd,6,2.45551868267579,Intermediate pleiotropy,4th,7
ACTL6B,51412,3.67396757105251,Low pleiotropy,1st,2,1.60173843890122,Intermediate pleiotropy,2nd,3
ACTL7A,10881,4.44143123917239,Intermediate pleiotropy,4th,7,2.42335856407473,Intermediate pleiotropy,3rd,6
ACTL7B,10880,4.44143123917239,Intermediate pleiotropy,4th,7,2.42335856407473,Intermediate pleiotropy,3rd,6
ACTL8,81569,4.33362031730353,Intermediate pleiotropy,3rd,6,3.31269510539824,High pleiotropy,5th,10
ACTL9,284382,3.37281303839827,Low pleiotropy,1st,1,0.817488019424055,Low pleiotropy,1st,2
ACTN1,87,4.79514465590608,Intermediate pleiotropy,4th,8,2.48979385725199,Intermediate pleiotropy,4th,8
ACTN2,88,4.39942612266983,Intermediate pleiotropy,4th,7,2.49082204206566,High pleiotropy,5th,9
ACTN3,89,5.44259222945615,High pleiotropy,5th,10,3.22915215497026,High pleiotropy,5th,9
ACTN4,81,4.31202722201548,Intermediate pleiotropy,3rd,6,2.4160069252843,Intermediate pleiotropy,3rd,6
ACTR10,55860,4.39787815424166,Intermediate pleiotropy,4th,7,2.41496230829325,Intermediate pleiotropy,3rd,6
ACTR1A,10121,4.82868889376546,High pleiotropy,5th,9,4.89997322819855,High pleiotropy,5th,10
ACTR1B,10120,4.06025540089109,Intermediate pleiotropy,2nd,4,1.59592144810608,Intermediate pleiotropy,2nd,3
ACTR2,10097,3.88746922960598,Intermediate pleiotropy,2nd,3,2.48207777624165,Intermediate pleiotropy,4th,8
ACTR3,10096,4.27924959496666,Intermediate pleiotropy,3rd,6,2.39267792830202,Intermediate pleiotropy,3rd,6
ACTR3B,57180,4.52416739808955,Intermediate pleiotropy,4th,7,2.45141533323676,Intermediate pleiotropy,4th,7
ACTR3C,653857,4.56705193732414,Intermediate pleiotropy,4th,7,3.25824180385378,High pleiotropy,5th,9
ACTR5,79913,3.88628935351516,Intermediate pleiotropy,2nd,3,1.59478234609505,Intermediate pleiotropy,2nd,3
ACTR6,64431,3.95075057426821,Intermediate pleiotropy,2nd,4,2.35856238059186,Intermediate pleiotropy,3rd,6
ACTR8,93973,3.97333206027539,Intermediate pleiotropy,2nd,4,1.63377062126405,Intermediate pleiotropy,2nd,4
ACTRT2,140625,5.31226358764678,High pleiotropy,5th,10,2.40360708685508,Intermediate pleiotropy,3rd,6
ACTRT3,84517,34.0644777257949,High pleiotropy,5th,10,3.2589307815771,High pleiotropy,5th,9
ACVR1,90,4.37136187619664,Intermediate pleiotropy,3rd,6,2.47746561616709,Intermediate pleiotropy,4th,8
ACVR1B,91,4.64307593624984,Intermediate pleiotropy,4th,8,2.47370147381842,Intermediate pleiotropy,4th,8
ACVR1C,130399,4.28211030918014,Intermediate pleiotropy,3rd,6,0.821237490185772,Low pleiotropy,1st,2
ACVR2A,92,4.013982054132,Intermediate pleiotropy,2nd,4,1.55282454172676,Low pleiotropy,1st,2
ACVR2B,93,4.29817622140384,Intermediate pleiotropy,3rd,6,0.724603963014819,Low pleiotropy,1st,1
ACVRL1,94,4.32032264050234,Intermediate pleiotropy,3rd,6,1.64999798329758,Intermediate pleiotropy,3rd,5
ACY1,95,4.06440242439808,Intermediate pleiotropy,2nd,4,0.776167548793002,Low pleiotropy,1st,1
ACY3,91703,4.9314629718177,High pleiotropy,5th,9,3.25337905307407,High pleiotropy,5th,9
ACYP1,97,5.105712835881,High pleiotropy,5th,9,3.16086648124648,High pleiotropy,5th,9
ACYP2,98,13.6909809935405,High pleiotropy,5th,10,3.95328369288519,High pleiotropy,5th,10
ADA,100,3.78179797730868,Intermediate pleiotropy,2nd,3,1.60696269758346,Intermediate pleiotropy,2nd,3
ADAD1,132612,5.7576282344042,High pleiotropy,5th,10,4.01523065418178,High pleiotropy,5th,10
ADAD2,161931,4.75276434899523,Intermediate pleiotropy,4th,8,3.29429810908609,High pleiotropy,5th,10
ADAL,161823,4.62197210106321,Intermediate pleiotropy,4th,8,2.33292935759448,Intermediate pleiotropy,3rd,5
ADAM10,102,4.50548558648034,Intermediate pleiotropy,4th,7,2.37534961038353,Intermediate pleiotropy,3rd,6
ADAM11,4185,4.15032495472614,Intermediate pleiotropy,3rd,5,1.58620122831796,Intermediate pleiotropy,2nd,3
ADAM12,8038,5.43194906633856,High pleiotropy,5th,10,4.14529896742827,High pleiotropy,5th,10
ADAM15,8751,4.79407802166675,Intermediate pleiotropy,4th,8,3.31676089557466,High pleiotropy,5th,10
ADAM17,6868,3.98871589104447,Intermediate pleiotropy,2nd,4,2.41764134007087,Intermediate pleiotropy,3rd,6
ADAM18,8749,3.42175790361701,Low pleiotropy,1st,1,0.799521780904845,Low pleiotropy,1st,1
ADAM19,8728,3.64256174447846,Low pleiotropy,1st,2,1.54890018564856,Low pleiotropy,1st,2
ADAM2,2515,3.63512403711749,Low pleiotropy,1st,2,1.58172874175119,Low pleiotropy,1st,2
ADAM20,8748,3.4446003896753,Low pleiotropy,1st,1,1.58059844269233,Low pleiotropy,1st,2
ADAM21,8747,3.08037710368244,Low pleiotropy,1st,1,1.57205488417784,Low pleiotropy,1st,2
ADAM22,53616,3.45841501536544,Low pleiotropy,1st,2,2.45969656377653,Intermediate pleiotropy,4th,7
ADAM23,8745,3.43149462123836,Low pleiotropy,1st,1,0.810290725728373,Low pleiotropy,1st,1
ADAM28,10863,3.94137611026312,Intermediate pleiotropy,2nd,4,1.60753078143028,Intermediate pleiotropy,2nd,3
ADAM29,11086,3.80871963906413,Intermediate pleiotropy,2nd,3,1.59228406826869,Intermediate pleiotropy,2nd,3
ADAM30,11085,4.80516648258595,Intermediate pleiotropy,4th,8,3.26212097144417,High pleiotropy,5th,9
ADAM32,203102,4.36730037557281,Intermediate pleiotropy,3rd,6,2.39864456928408,Intermediate pleiotropy,3rd,6
ADAM33,80332,3.60130857928837,Low pleiotropy,1st,2,1.62915083196428,Intermediate pleiotropy,2nd,4
ADAM7,8756,3.47323091621625,Low pleiotropy,1st,2,1.5967471650198,Intermediate pleiotropy,2nd,3
ADAM8,101,3.76517962970796,Intermediate pleiotropy,2nd,3,1.59824953552379,Intermediate pleiotropy,2nd,3
