gene,pn_ld_corrected,pn_ld_class5_corrected,pm_ld_corrected,pm_ld_class5_corrected,pn_ld_mafbin1,pn_ld_class5_mafbin1,pm_ld_mafbin1,pm_ld_class5_mafbin1,pn_ld_mafbin2,pn_ld_class5_mafbin2,pm_ld_mafbin2,pm_ld_class5_mafbin2,pn_ld_mafbin3,pn_ld_class5_mafbin3,pm_ld_mafbin3,pm_ld_class5_mafbin3,pn_ld_pnadjust,pn_ld_class5_pnadjust,pm_ld_pnadjust,pm_ld_class5_pnadjust,pn_ld_polygenicity,pn_ld_class5_polygenicity,pm_ld_polygenicity,pm_ld_class5_polygenicity,pn_ld_traitcut,pn_ld_class5_traitcut,pm_ld_traitcut,pm_ld_class5_traitcut,pn_ld_repro,pn_ld_class5_repro,pm_ld_repro,pm_ld_class5_repro,pn_ld_raw,pn_ld_class5_raw,pm_ld_raw,pm_ld_class5_raw,gene_age_num
OST4,25.315299080642,1st,9.64418413782531,1st,,,,,11.9890747210694,5th,6.83233024927934,5th,12.8897286442903,5th,6.81161890481635,4th,1.34065311124385,4th,6.88020557084014,4th,8.33333333333333,5th,5.57218193066027,4th,18.7888168811869,5th,11.8423539019148,4th,19.7706134594987,2nd,45.253203293109,4th,12.8897286442903,5th,6.83233024927934,4th,78
OSTC,8.61460572794922,1st,6.24998309893935,1st,,,,,3.96429408217612,1st,5.09614888332169,1st,,,,,0,1st,5.18329678363701,1st,2.1505376344086,1st,4.59771506311914,1st,2.78294967809842,1st,7.36621965700848,1st,9.14216188217816,1st,32.3942948389566,2nd,3.96429408217612,1st,5.09614888332169,1st,1488
OSTF1,56.2171253884565,4th,17.1899294132992,4th,5.37310357634191,1st,5.44764701197058,2nd,7.97597231077319,2nd,5.73742586977332,2nd,7.37154302955816,2nd,5.66295536812334,1st,0.250540632157575,1st,5.80316439827949,1st,4.03225806451613,1st,5.09091411906864,1st,10.4586078359529,1st,9.31645088123269,1st,21.6871364149287,3rd,29.4824585452369,1st,7.97597231077319,2nd,5.73742586977332,1st,987
OSTM1,52.4775851581706,4th,18.358231539585,4th,6.87401311015653,3rd,5.53737702666809,2nd,6.93526195663104,1st,5.82360612974654,2nd,5.29435810443761,1st,5.4462940006652,1st,0.231820262395653,1st,5.97568752426956,2nd,4.83870967741936,1st,5.21422946477136,2nd,9.92399960679285,1st,9.55784857695935,2nd,4.22658771500652,1st,21.2331471154699,1st,6.93526195663104,1st,5.82360612974654,2nd,950
OSTN,31.004671062064,2nd,9.54295185550357,1st,6.75751019369707,3rd,5.59696684647486,3rd,6.98491266582301,1st,5.87022328524171,2nd,9.14386893868254,3rd,5.95658004354342,2nd,0.489800915071821,2nd,6.16612206699817,3rd,6.45161290322581,3rd,5.33537841582186,2nd,12.1235397609433,2nd,9.85955768669142,2nd,21.5863828644762,3rd,62.795838344976,5th,9.14386893868254,3rd,5.95658004354342,2nd,454
OTOA,68.1979045667419,5th,28.9562093837216,5th,7.32850749169597,4th,5.77501672510446,4th,6.47050357022309,1st,5.54766462932772,1st,7.47971808743648,2nd,5.64348363994313,1st,0.476923880619107,2nd,5.73897744229343,1st,5.10752688172043,1st,5.04280384580322,1st,8.91718715775714,1st,9.27836319870102,1st,21.6193039391569,3rd,31.228566662819,1st,7.47971808743648,1st,5.61901829209256,1st,680
OTOF,65.5572826659526,5th,28.7747288607109,5th,7.37251771868642,4th,5.92260208785163,5th,7.99679324447545,2nd,5.83924129587332,2nd,8.82636027895959,3rd,5.80855058611319,2nd,0.770067111711224,3rd,6.05712498585259,2nd,5.64516129032258,2nd,5.26843422402999,2nd,11.1789858286451,2nd,9.96764176033952,2nd,32.3445929652359,5th,44.7608481800008,4th,8.82636027895959,2nd,5.92260208785163,2nd,680
OTOG,23.9364756949225,1st,9.45904299668974,1st,6.15205366658707,2nd,5.5196493197169,2nd,7.36338607324633,2nd,5.73074295490343,2nd,8.78982964989601,3rd,6.00818806857587,3rd,0.503483688756201,2nd,6.17819562756327,3rd,5.91397849462366,2nd,5.3423207431629,3rd,12.6117661357609,3rd,9.70917472292965,2nd,21.0210656127864,3rd,38.0832049406085,3rd,8.78982964989601,2nd,6.00818806857587,2nd,950
OTOGL,34.8025676203489,2nd,12.0094475902051,2nd,9.31485888856668,5th,6.06631308463999,5th,7.20743581272528,2nd,5.55061353444159,1st,9.13642498935987,3rd,6.0510995503343,3rd,0.232880445595214,1st,6.21255808500156,3rd,6.45161290322581,3rd,5.36149048980782,3rd,10.3039464200943,1st,9.8896400928051,2nd,21.6107293978103,3rd,36.6016400439104,2nd,9.31485888856668,3rd,6.06631308463999,3rd,950
OTOL1,55.0014228621263,4th,18.1156836734436,4th,7.38625194296278,4th,5.54439930672681,2nd,8.19135398809381,3rd,5.83012658510245,2nd,8.81033341071878,3rd,5.98905356539121,3rd,0.624743226888185,3rd,6.05648609407277,2nd,6.18279569892473,3rd,5.2680214479894,2nd,16.3569796166149,4th,10.1111430991643,3rd,18.0094543078149,2nd,31.1099306753154,1st,8.81033341071878,2nd,5.98905356539121,2nd,886
OTOP1,28.2940546747203,2nd,11.4921515388886,2nd,,,,,5.42789161670327,1st,5.59766763667298,1st,8.34110953141883,2nd,5.93602201092662,2nd,0.481632080242088,2nd,6.0913520873052,2nd,5.91397849462366,2nd,5.29021795460337,2nd,11.8759570901819,2nd,9.67218962939259,2nd,15.4308783776893,1st,28.5425103543604,1st,8.34110953141883,2nd,5.93602201092662,2nd,886
OTOP2,85.0538216829654,5th,53.7116624081868,5th,6.47780418290925,3rd,5.48184926146196,2nd,7.91304752734603,2nd,6.09825267074228,3rd,7.68247253766538,2nd,5.88562088987196,2nd,0.775186563793942,3rd,6.2116424094251,3rd,4.56989247311828,1st,5.36099025090674,3rd,6.26170320586864,1st,9.90479894911664,2nd,10.79510106974,1st,30.8681276611559,1st,7.91304752734603,2nd,6.09825267074228,3rd,886
OTOP3,85.0538216829654,5th,53.7116624081868,5th,6.47780418290925,3rd,5.64185908235376,3rd,7.91304752734603,2nd,6.09825267074228,3rd,7.68247253766538,2nd,5.9221310746418,2nd,0.775186563793942,3rd,6.2116424094251,3rd,4.56989247311828,1st,5.36099025090674,3rd,8.20783915509365,1st,9.90479894911664,2nd,10.79510106974,1st,30.8681276611559,1st,7.91304752734603,2nd,6.09825267074228,3rd,454
OTOR,36.5959935762352,2nd,12.6838372567691,2nd,4.81495401886204,1st,5.56254099473521,2nd,8.27319883643021,3rd,5.72665790594418,2nd,8.52912052133342,3rd,5.89738501386256,2nd,0.256404678022309,1st,6.059080313289,2nd,5.64516129032258,2nd,5.26970012108012,2nd,13.2329637045823,3rd,9.69218299094768,2nd,16.5535408169061,2nd,36.8572655858854,2nd,8.52912052133342,2nd,5.89738501386256,2nd,680
OTOS,59.9785017074653,5th,21.2054665016197,5th,5.08769754530894,1st,5.21348757108411,1st,7.88751449449602,2nd,5.78431055997216,2nd,7.63615091463377,2nd,6.02905708755304,3rd,0.504563596294358,2nd,6.21594128030131,3rd,5.64516129032258,2nd,5.36333851574243,3rd,8.82460978907517,1st,9.43317098339653,1st,21.8027690001143,3rd,35.1945241071278,2nd,7.88751449449602,2nd,6.02905708755304,3rd,544
OTP,49.9874619255896,4th,16.5896632126576,4th,8.226122307113,5th,5.94992275275183,5th,6.65976526506868,1st,5.50841073674571,1st,9.76228787562078,4th,6.2503363848994,3rd,0.515504686913827,2nd,6.35309276703359,3rd,6.72043010752688,3rd,5.43071628756796,3rd,13.0263072164643,3rd,10.6791344391407,3rd,32.9054131550902,5th,49.6487831566229,4th,9.76228787562078,3rd,6.2503363848994,3rd,950
OTUB1,59.583790180526,4th,22.6890218024525,5th,6.41857270681613,3rd,5.50846215204634,2nd,,,,,11.299416374092,5th,6.7422216285585,4th,0.914490802219723,3rd,6.84331660698001,4th,8.06451612903226,4th,5.56607333842736,4th,15.0182957677425,4th,11.5162667521299,4th,20.4072489478088,2nd,40.4885268102448,3rd,11.299416374092,4th,6.7422216285585,4th,1292
OTUB2,55.006553050297,4th,17.876283661355,4th,5.26815359278503,1st,5.489246166228,2nd,5.98769432339087,1st,5.83590367596887,2nd,8.01199170583322,2nd,5.73111505485222,2nd,0.207574119175927,1st,6.01132341934752,2nd,4.83870967741936,1st,5.23832445329289,2nd,10.8000597774985,2nd,9.77350721189791,2nd,21.1657677220855,3rd,42.369814801378,3rd,8.01199170583322,2nd,5.83590367596887,2nd,1292
OTUD1,72.2250294115334,5th,27.9917280293476,5th,5.81445288661903,2nd,5.53973974423749,2nd,,,,,8.45583176850205,2nd,5.85767084082111,2nd,0.791792595329514,3rd,5.98210941585271,2nd,5.10752688172043,1st,5.21860646343237,2nd,9.63359880059191,1st,9.26797967157615,1st,13.3407344081427,1st,52.9383198098549,4th,8.45583176850205,2nd,5.85767084082111,2nd,78
OTUD3,29.2857091897045,2nd,10.9436394602675,2nd,6.25053549164405,2nd,5.56060473307156,2nd,6.28769790360278,1st,5.47550801653642,1st,7.26601859776073,1st,5.52943293025639,1st,0.513293588557161,2nd,5.71022679664733,1st,4.83870967741936,1st,5.02093050944174,1st,9.45752919933356,1st,9.12078409410519,1st,10.6272681399954,1st,32.8989750418567,2nd,7.26601859776073,1st,5.56060473307156,1st,987
OTUD4,40.7756223323055,3rd,15.3087236316164,3rd,6.8704976863687,3rd,7.0194190580503,5th,9.5066194187754,4th,9.40623315860351,5th,11.9994798591854,5th,7.96669591465983,5th,1.83575877631,5th,9.98676382525875,5th,7.79569892473118,4th,5.76543750557022,5th,13.6543142088528,3rd,19.8679048786323,5th,20.8300911040751,2nd,159.603761229117,5th,11.9994798591854,5th,9.40623315860351,5th,1488
OTUD6B,42.707738315705,3rd,14.7013137051955,3rd,5.9540723263539,2nd,5.52250319962581,2nd,,,,,8.83157222405594,3rd,6.04302644770575,3rd,1.00303051039974,4th,6.17416589602406,3rd,5.91397849462366,2nd,5.3400238799877,2nd,14.1865331317448,3rd,10.3542450781551,3rd,24.1113060496893,3rd,50.2689307837734,4th,8.83157222405594,2nd,6.04302644770575,3rd,1488
OTUD7A,60.5638715649628,5th,20.5677550673809,5th,7.72578078624678,4th,5.76016931355952,4th,9.56528600240374,4th,6.3118349578326,4th,11.500770903171,5th,6.31537443027068,4th,0.941093017684799,4th,6.52534615554715,4th,5.10752688172043,1st,5.49420172760509,4th,10.694228450213,2nd,9.0858001952932,1st,29.8088525672172,5th,37.7611321109627,3rd,11.500770903171,4th,6.31537443027068,3rd,544
OTUD7B,39.8136351909398,3rd,13.3434776461528,3rd,8.14156324734885,5th,5.91897752150789,5th,12.646438222147,5th,7.78330012106714,5th,12.9862452846227,5th,11.6489623539867,5th,2.64982102526068,5th,12.3379710384415,5th,8.87096774193548,5th,5.82945578309758,5th,19.6898876725537,5th,24.6835967815224,5th,21.8038556107492,3rd,262.324716559037,5th,12.9862452846227,5th,11.6489623539867,5th,544
